[2026-06-30 09:19:34] ==================== 强势股监控线程启动 ====================

[2026-06-30 09:31:30] ⚠️ 【COND1-开盘急跌】688123.SH    聚辰股份 | 涨幅 -3.2% | 快速回撤  6.9% | 关键词：存储芯片
[2026-06-30 14:23:55] ⚠️ 【COND1-冲高跳水】688432.SH    有研硅　 | 涨幅  4.4% | 最大回撤  6.0% | 关键词：半导体硅片、大硅片、集成电路

[2026-06-30 14:26:00] ⚠️ 【COND1-冲高跳水】688037.SH    芯源微　 | 涨幅  6.6% | 最大回撤  6.1% | 关键词：光刻机、半导体设备、晶圆厂扩产

[2026-06-30 14:27:43] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.7% | 最大回撤  6.1% | 关键词：钽电容涨价、稀有金属、军工材料

[2026-06-30 14:27:53] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.7% | 最大回撤  6.0% | 关键词：钽电容涨价、稀有金属、军工材料

[2026-06-30 14:28:00] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.7% | 最大回撤  6.1% | 关键词：钽电容涨价、稀有金属、军工材料

[2026-06-30 14:29:26] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.6% | 最大回撤  6.0% | 关键词：钽电容涨价、稀有金属、军工材料

[2026-06-30 14:29:32] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.6% | 最大回撤  6.0% | 关键词：钽电容涨价、稀有金属、军工材料

[2026-06-30 14:29:37] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.6% | 最大回撤  6.0% | 关键词：钽电容涨价、稀有金属、军工材料

[2026-06-30 14:30:07] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.7% | 最大回撤  6.0% | 关键词：钽电容涨价、稀有金属、军工材料

[2026-06-30 14:31:14] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.6% | 最大回撤  6.0% | 关键词：钽电容涨价、稀有金属、军工材料

[2026-06-30 14:31:16] ==================== 强势股监控线程停止 ====================



[2026-06-30 14:33:03] ==================== 强势股监控线程启动 ====================
[2026-06-30 14:33:13] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.8% | 最大回撤  6.1% | 关键词：钽铌铍、稀有金属、军工材料
[2026-06-30 14:37:06] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.7% | 最大回撤  6.0% | 关键词：钽铌铍、稀有金属、军工材料
[2026-06-30 14:45:03] ==================== 强势股监控线程启动 ====================
[2026-06-30 14:45:11] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.8% | 最大回撤  6.2% | 关键词：钽铌矿价涨、军工订单、稀有金属
[2026-06-30 14:54:03] ⚠️ 【COND1-冲高跳水】600206.SH    有研新材 | 涨幅 -1.6% | 最大回撤  6.1% | 关键词：靶材、半导体材料、稀土永磁
[2026-06-30 15:46:17] ==================== 强势股监控线程启动 ====================
